epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.0077,0.18084,1,1,0.00122,0.000549493,0.000549493,0.000549493
2,5.98445,0.00783,1,1,0.00048,0.00106139,0.00106139,0.00106139
3,7.80945,0.00404,1,1,0.00024,0.00152929,0.00152929,0.00152929
4,9.63568,0.00098,1,1,0.0001,0.00146896,0.00146896,0.00146896
5,11.476,0.00088,1,1,1e-05,0.00140295,0.00140295,0.00140295
6,13.3974,0.00418,1,1,5e-05,0.00133693,0.00133693,0.00133693
7,15.2332,0.03427,1,1,8e-05,0.00127092,0.00127092,0.00127092
8,17.0472,0.01128,1,1,8e-05,0.00120491,0.00120491,0.00120491
9,18.8995,0.01659,1,1,0.00032,0.00113889,0.00113889,0.00113889
10,20.7205,0.00645,1,1,0.00215,0.00107288,0.00107288,0.00107288
11,22.5679,0.00589,1,1,0.00068,0.00100687,0.00100687,0.00100687
12,24.4065,0.0093,1,1,5e-05,0.000940855,0.000940855,0.000940855
13,26.2642,0.00383,1,1,4e-05,0.000874842,0.000874842,0.000874842
14,28.1184,0.00032,1,1,0,0.000808828,0.000808828,0.000808828
15,29.9595,0.00381,1,1,1e-05,0.000742815,0.000742815,0.000742815
16,32.5434,0.00087,1,1,2e-05,0.000676802,0.000676802,0.000676802
17,34.3972,0.00274,1,1,0,0.000610789,0.000610789,0.000610789
18,36.2489,0.0017,1,1,6e-05,0.000544776,0.000544776,0.000544776
19,38.2218,0.00046,1,1,3e-05,0.000478762,0.000478762,0.000478762
20,40.0913,0.00553,1,1,0.00068,0.000412749,0.000412749,0.000412749
21,41.9279,0.00054,1,1,6e-05,0.000346736,0.000346736,0.000346736
22,43.7642,0.00033,1,1,9e-05,0.000280723,0.000280723,0.000280723
23,45.5768,0.00021,1,1,9e-05,0.00021471,0.00021471,0.00021471
24,47.4013,0.00015,1,1,5e-05,0.000148696,0.000148696,0.000148696
25,49.2683,8e-05,1,1,8e-05,8.26832e-05,8.26832e-05,8.26832e-05
