epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.0308,0.18045,1,1,0.00491,0.00054845,0.00054845,0.00054845
2,28.2008,0.01601,1,1,0.0023,0.00106039,0.00106039,0.00106039
3,39.869,0.02232,1,1,0.00092,0.00152833,0.00152833,0.00152833
4,50.7068,0.01291,1,1,0.00099,0.00146896,0.00146896,0.00146896
5,61.8244,0.03136,1,1,0.00236,0.00140295,0.00140295,0.00140295
6,72.5161,0.00995,1,1,0.00084,0.00133693,0.00133693,0.00133693
7,83.5832,0.00758,1,1,6e-05,0.00127092,0.00127092,0.00127092
8,94.2195,0.00797,1,1,0.00015,0.00120491,0.00120491,0.00120491
9,105.201,0.00968,1,1,0.00031,0.00113889,0.00113889,0.00113889
10,116.132,0.00582,1,1,0.0002,0.00107288,0.00107288,0.00107288
11,127.141,0.01136,1,1,0.00268,0.00100687,0.00100687,0.00100687
12,137.437,0.00415,1,1,0.00012,0.000940855,0.000940855,0.000940855
13,148.46,0.00358,1,1,0.00053,0.000874842,0.000874842,0.000874842
14,159.377,0.00133,1,1,0.00017,0.000808828,0.000808828,0.000808828
15,169.822,0.00046,1,1,5e-05,0.000742815,0.000742815,0.000742815
16,183.323,0.00029,1,1,2e-05,0.000676802,0.000676802,0.000676802
17,194.262,0.00336,1,1,2e-05,0.000610789,0.000610789,0.000610789
18,206.013,0.00071,1,1,1e-05,0.000544776,0.000544776,0.000544776
19,216.475,0.00102,1,1,2e-05,0.000478762,0.000478762,0.000478762
20,227.791,0.00167,1,1,0.00031,0.000412749,0.000412749,0.000412749
21,238.771,0.00183,1,1,0.00019,0.000346736,0.000346736,0.000346736
22,250.297,0.00103,1,1,6e-05,0.000280723,0.000280723,0.000280723
23,261.351,0.00062,1,1,0.00013,0.00021471,0.00021471,0.00021471
24,273.349,0.00242,1,1,0.0002,0.000148696,0.000148696,0.000148696
25,284.74,0.00029,1,1,0.00016,8.26832e-05,8.26832e-05,8.26832e-05
