epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8141,2.94498,4.64085,1.27599,0.34976,0.32605,0.29722,0.12968,2.44577,2.40179,1.08168,0.0672374,0.000330935,0.000330935
2,52.1003,2.36027,2.34122,1.06258,0.5262,0.51019,0.52446,0.21675,2.24973,1.83138,1.00624,0.0342372,0.000664106,0.000664106
3,71.4235,2.20836,1.8602,1.02715,0.69826,0.56332,0.64054,0.28281,2.09988,1.61559,0.99468,0.00123644,0.000996627,0.000996627
4,90.7308,2.09538,1.6836,1.00017,0.71807,0.60673,0.66697,0.29234,2.07887,1.49607,0.98025,0.000997803,0.000997803,0.000997803
5,110.047,2.05706,1.51912,0.98714,0.82733,0.66898,0.75541,0.31479,1.97467,1.31924,0.96691,0.000996097,0.000996097,0.000996097
6,129.365,2.02326,1.38558,0.98664,0.80565,0.78482,0.82129,0.36375,1.98309,1.25876,0.97253,0.000993906,0.000993906,0.000993906
7,148.773,2.01959,1.39991,0.97708,0.85874,0.6963,0.81299,0.37731,1.97633,1.20259,0.96381,0.000991232,0.000991232,0.000991232
8,168.147,1.93645,1.2481,0.96803,0.90674,0.79064,0.86822,0.39944,1.88141,1.07298,0.93543,0.000988079,0.000988079,0.000988079
9,187.495,1.92254,1.23934,0.95303,0.91329,0.79219,0.8701,0.42766,1.83463,1.03454,0.93477,0.000984449,0.000984449,0.000984449
10,206.786,1.86404,1.18589,0.95834,0.8117,0.7355,0.76845,0.31821,2.07823,1.23933,0.96448,0.000980345,0.000980345,0.000980345
11,225.947,1.88463,1.17882,0.96469,0.8897,0.75268,0.8464,0.40092,1.91817,1.09591,0.94124,0.000975773,0.000975773,0.000975773
12,245.142,1.84981,1.14451,0.95607,0.91216,0.80663,0.87268,0.41745,1.83965,1.05418,0.93044,0.000970736,0.000970736,0.000970736
13,264.317,1.87402,1.10879,0.94843,0.92479,0.80896,0.86761,0.42596,1.84428,1.07037,0.93323,0.000965239,0.000965239,0.000965239
14,283.503,1.80064,1.08466,0.94025,0.89415,0.82181,0.86909,0.41344,1.84758,1.01247,0.93468,0.000959289,0.000959289,0.000959289
15,302.685,1.79351,1.03796,0.93326,0.92395,0.8156,0.87423,0.42076,1.79646,0.97758,0.92125,0.000952889,0.000952889,0.000952889
16,321.859,1.81354,1.04722,0.93708,0.92934,0.80387,0.87608,0.43319,1.7908,0.99337,0.92189,0.000946048,0.000946048,0.000946048
17,341.22,1.79643,1.02733,0.93052,0.90214,0.79558,0.8857,0.40447,1.875,1.00555,0.93076,0.000938772,0.000938772,0.000938772
18,360.423,1.76331,0.98957,0.92735,0.92092,0.84214,0.90633,0.4636,1.7435,0.94083,0.91535,0.000931067,0.000931067,0.000931067
19,379.751,1.79229,1.0027,0.93377,0.95403,0.83179,0.90583,0.45704,1.75528,0.91676,0.92124,0.000922942,0.000922942,0.000922942
20,398.894,1.78692,0.99287,0.93206,0.91337,0.82818,0.90032,0.44494,1.77439,0.95781,0.91927,0.000914405,0.000914405,0.000914405
21,418.019,1.70502,0.95949,0.92145,0.94282,0.82241,0.9018,0.45332,1.77295,0.95342,0.91557,0.000905463,0.000905463,0.000905463
22,437.113,1.73078,0.95787,0.9255,0.93847,0.82075,0.89636,0.42768,1.82419,0.94162,0.92215,0.000896127,0.000896127,0.000896127
23,456.421,1.72721,0.92897,0.92129,0.93601,0.8584,0.90765,0.42584,1.79061,0.91333,0.91277,0.000886404,0.000886404,0.000886404
24,475.76,1.73655,0.94158,0.92599,0.90061,0.87991,0.90439,0.45351,1.76561,0.88221,0.91387,0.000876305,0.000876305,0.000876305
25,495.038,1.68325,0.90222,0.92379,0.91784,0.8544,0.90524,0.43987,1.8311,0.93301,0.92205,0.000865839,0.000865839,0.000865839
26,514.197,1.69692,0.91948,0.91295,0.87525,0.84318,0.90514,0.44061,1.81702,0.93147,0.92047,0.000855018,0.000855018,0.000855018
27,533.54,1.69232,0.90533,0.92468,0.94875,0.88361,0.92736,0.46245,1.77333,0.86199,0.91687,0.000843851,0.000843851,0.000843851
28,552.926,1.6871,0.9142,0.90451,0.93558,0.89052,0.92106,0.45562,1.76479,0.88076,0.91333,0.000832349,0.000832349,0.000832349
29,572.282,1.66585,0.88859,0.90663,0.95659,0.86839,0.92591,0.45079,1.75466,0.87326,0.91248,0.000820525,0.000820525,0.000820525
30,591.623,1.6741,0.8985,0.90246,0.92891,0.84802,0.9079,0.45047,1.7733,0.92388,0.90963,0.000808389,0.000808389,0.000808389
31,610.963,1.63255,0.8607,0.91122,0.93692,0.8803,0.92024,0.42967,1.79344,0.85436,0.91438,0.000795954,0.000795954,0.000795954
32,630.389,1.63347,0.84235,0.90676,0.88942,0.88255,0.92911,0.46469,1.73767,0.83302,0.90589,0.000783231,0.000783231,0.000783231
33,649.812,1.65195,0.85511,0.90863,0.93076,0.87132,0.92447,0.45598,1.75137,0.85285,0.91258,0.000770234,0.000770234,0.000770234
34,669.124,1.62002,0.82622,0.90711,0.90761,0.89273,0.9277,0.45474,1.75025,0.84531,0.90942,0.000756976,0.000756976,0.000756976
35,688.439,1.63415,0.84469,0.90535,0.94086,0.88606,0.92997,0.45393,1.71839,0.84916,0.90723,0.000743468,0.000743468,0.000743468
36,707.783,1.6241,0.84664,0.90528,0.94879,0.85245,0.92282,0.48064,1.66954,0.85515,0.90011,0.000729725,0.000729725,0.000729725
37,727.281,1.62003,0.86103,0.89921,0.97184,0.85386,0.92882,0.48688,1.68644,0.85118,0.90113,0.000715761,0.000715761,0.000715761
38,746.705,1.62795,0.84062,0.91569,0.93104,0.88206,0.93364,0.49511,1.69362,0.85187,0.89918,0.000701588,0.000701588,0.000701588
39,766.12,1.62232,0.82214,0.90194,0.96509,0.90596,0.9477,0.49562,1.67164,0.78047,0.89843,0.000687222,0.000687222,0.000687222
40,785.553,1.57736,0.78252,0.90498,0.93426,0.90747,0.9405,0.48857,1.69965,0.79637,0.90173,0.000672675,0.000672675,0.000672675
41,804.855,1.58083,0.79384,0.89485,0.94491,0.87266,0.93508,0.48199,1.71546,0.83362,0.91,0.000657963,0.000657963,0.000657963
42,824.151,1.60176,0.78926,0.90187,0.94954,0.90678,0.9385,0.48353,1.69975,0.81006,0.90483,0.000643101,0.000643101,0.000643101
43,843.524,1.60091,0.79284,0.90683,0.9614,0.89288,0.92929,0.48711,1.67502,0.83294,0.90525,0.000628101,0.000628101,0.000628101
44,862.807,1.55235,0.76262,0.89887,0.95595,0.91278,0.94437,0.50078,1.63612,0.80568,0.89405,0.000612981,0.000612981,0.000612981
45,882.134,1.55539,0.76232,0.89284,0.94701,0.9131,0.94533,0.50178,1.63859,0.79455,0.89834,0.000597754,0.000597754,0.000597754
46,901.507,1.54155,0.75519,0.8946,0.94179,0.90568,0.94353,0.501,1.66158,0.78727,0.90036,0.000582435,0.000582435,0.000582435
47,920.722,1.5178,0.74575,0.88846,0.94299,0.91964,0.95159,0.50724,1.63493,0.76075,0.89549,0.00056704,0.00056704,0.00056704
48,939.991,1.5342,0.75697,0.89816,0.95303,0.88988,0.94262,0.50038,1.64405,0.77655,0.89789,0.000551584,0.000551584,0.000551584
49,959.284,1.54979,0.7509,0.88935,0.94774,0.90383,0.93829,0.49564,1.67897,0.77,0.89988,0.000536081,0.000536081,0.000536081
50,978.558,1.52374,0.73778,0.88767,0.96342,0.88666,0.94027,0.49076,1.66788,0.78497,0.89644,0.000520548,0.000520548,0.000520548
51,997.872,1.54919,0.74489,0.88931,0.97197,0.91452,0.95314,0.5039,1.67472,0.76083,0.89639,0.000505,0.000505,0.000505
52,1017.09,1.52288,0.7343,0.88579,0.94274,0.91247,0.94141,0.50634,1.66068,0.77113,0.89821,0.000489452,0.000489452,0.000489452
