epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2392,3.01583,5.17272,1.29003,0.46359,0.16791,0.19076,0.07984,2.66644,3.06094,1.13698,0.0672374,0.000330935,0.000330935
2,35.8894,2.52105,2.85513,1.09889,0.48495,0.3939,0.41283,0.18651,2.30758,2.37777,1.04236,0.0342372,0.000664106,0.000664106
3,45.4414,2.30671,2.28463,1.04544,0.49088,0.43862,0.46167,0.19825,2.24157,1.95557,1.01229,0.00123644,0.000996627,0.000996627
4,55.011,2.23005,2.02205,1.02525,0.68949,0.56706,0.63808,0.2692,2.17108,1.86069,0.99121,0.000997803,0.000997803,0.000997803
5,64.5648,2.17363,1.8602,1.00627,0.72424,0.62632,0.70063,0.31551,2.07746,1.5019,0.97667,0.000996097,0.000996097,0.000996097
6,74.1375,2.10756,1.66603,0.99681,0.77106,0.65053,0.73508,0.3318,2.06847,1.39966,0.97575,0.000993906,0.000993906,0.000993906
7,83.7601,2.09711,1.58405,0.98471,0.7827,0.69185,0.74485,0.32389,2.04689,1.36284,0.96921,0.000991232,0.000991232,0.000991232
8,93.5009,2.00197,1.42922,0.97611,0.85,0.72909,0.79988,0.35714,2.03458,1.27369,0.96929,0.000988079,0.000988079,0.000988079
9,103.063,2.00998,1.39112,0.96255,0.8567,0.73801,0.82171,0.37457,1.93446,1.20889,0.95422,0.000984449,0.000984449,0.000984449
10,112.646,1.9038,1.25446,0.96281,0.88953,0.68996,0.78883,0.33745,2.02667,1.23171,0.96159,0.000980345,0.000980345,0.000980345
11,122.229,1.923,1.26445,0.97219,0.86583,0.71687,0.79915,0.36318,2.02795,1.1855,0.96146,0.000975773,0.000975773,0.000975773
12,131.756,1.93024,1.25253,0.96742,0.85783,0.77271,0.82124,0.37865,1.91343,1.1794,0.94365,0.000970736,0.000970736,0.000970736
13,141.32,1.92763,1.2553,0.95411,0.8845,0.74227,0.85168,0.41484,1.82347,1.12455,0.92865,0.000965239,0.000965239,0.000965239
14,150.864,1.87035,1.21729,0.94877,0.90551,0.78733,0.86251,0.41558,1.84324,1.09582,0.93366,0.000959289,0.000959289,0.000959289
15,160.42,1.87791,1.18693,0.94629,0.87886,0.7427,0.80846,0.37104,1.92209,1.17731,0.94136,0.000952889,0.000952889,0.000952889
16,169.92,1.88735,1.20582,0.95183,0.90505,0.75632,0.86202,0.40319,1.87931,1.14728,0.93294,0.000946048,0.000946048,0.000946048
17,179.358,1.83755,1.16432,0.93605,0.92874,0.76753,0.85298,0.40534,1.87206,1.08281,0.93418,0.000938772,0.000938772,0.000938772
18,188.816,1.80613,1.10226,0.93575,0.90328,0.79883,0.86795,0.43313,1.82692,1.06347,0.93454,0.000931067,0.000931067,0.000931067
