epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.6843,1.29225,0.89419,0.99553,0.36882,0.000331349,0.000331349,0.000331349
2,21.003,0.37699,0.96274,1,0.12011,0.000598879,0.000598879,0.000598879
3,30.0039,0.22968,0.95082,1,0.12678,0.000800409,0.000800409,0.000800409
4,40.4114,0.18966,0.97317,1,0.10836,0.000703,0.000703,0.000703
5,49.3759,0.17893,0.97765,1,0.08625,0.000604,0.000604,0.000604
6,58.3487,0.13643,0.97466,1,0.08415,0.000505,0.000505,0.000505
7,69.1771,0.12663,0.97765,1,0.07271,0.000406,0.000406,0.000406
8,78.0913,0.09542,0.97914,1,0.07551,0.000307,0.000307,0.000307
9,87.0816,0.10396,0.98063,1,0.07182,0.000208,0.000208,0.000208
10,97.7881,0.0828,0.97765,1,0.07574,0.000109,0.000109,0.000109
